title,price_block,floor,layout,area,location,address,access,built_year,shiki,rei,link,score
シティアヴェニュー麻生,"5.9万円
管理費等 3,000円",2階,1LDK,35.4m2,北区麻生町1,北海道札幌市北区麻生町1,麻生駅/札幌市営地下鉄南北線 徒歩6分 / 新琴似駅/札沼線 徒歩11分,築3年/地上4階建て/鉄筋コンクリート,5.9万円,なし,https://realestate.yahoo.co.jp/rent/detail/000007051792ad41a0457430a2c1ba81d7ed86cd872f/,1
シティアヴェニュー麻生,"6.2万円
管理費等 3,000円",2階,1LDK,35.18m2,北区麻生町1,北海道札幌市北区麻生町1,麻生駅/札幌市営地下鉄南北線 徒歩6分 / 新琴似駅/札沼線 徒歩11分,築3年/地上4階建て/鉄筋コンクリート,6.2万円,なし,https://realestate.yahoo.co.jp/rent/detail/000007051792c4026c9e4266b5b76366e5d913541812/,1
札幌市電 東本願寺前駅 5階建 築1年未満,"10.1万円
管理費等 5,000円",4階,2LDK,50.33m2,中央区南八条西6,北海道札幌市中央区南八条西6,東本願寺前駅/札幌市電 徒歩1分以内 / 中島公園駅/札幌市営地下鉄南北線 徒歩8分,築1年未満/地上5階建て/鉄筋コンクリート,10.1万円,10.1万円,https://realestate.yahoo.co.jp/rent/detail/_00000849342300507aadc509d318b8659ed1cb5ef263/,0
ビッグタワー大通公園,"7.6万円
管理費等 7,000円",6階,1DK,27.49m2,中央区南一条西4,北海道札幌市中央区南一条西4,大通駅/札幌市営地下鉄南北線 徒歩1分以内 / 西４丁目駅/札幌市電 徒歩1分以内,築11年/地上26階建て/鉄筋コンクリート,7.6万円,7.6万円,https://realestate.yahoo.co.jp/rent/detail/000001157619000186720a72f1454308fcc1f79a1786/,0
ビッグタワー大通公園,"7.6万円
管理費等 7,000円",6階,1LDK,27.49m2,中央区南一条西4,北海道札幌市中央区南一条西4,大通駅/札幌市営地下鉄南北線 徒歩1分以内 / 西４丁目駅/札幌市電 徒歩1分以内,築11年/地上26階建て/鉄筋コンクリート,7.6万円,7.6万円,https://realestate.yahoo.co.jp/rent/detail/000001157619096b4b20ec94b857b4d7199f3c5db151/,0
札幌市電 西４丁目駅 26階建 築11年,"7.6万円
管理費等 7,000円",6階,1DK,27.49m2,中央区南一条西4,北海道札幌市中央区南一条西4,大通駅/札幌市営地下鉄東西線 徒歩1分以内 / 西４丁目駅/札幌市電 徒歩1分以内,築11年/地上26階建て/鉄筋コンクリート,7.6万円,7.6万円,https://realestate.yahoo.co.jp/rent/detail/_000001157619000186720a72f1454308fcc1f79a1786/,0
札幌市電 西４丁目駅 26階建 築11年,"17.7万円
管理費等 7,000円",20階,2LDK,57.52m2,中央区南一条西4,北海道札幌市中央区南一条西4,大通駅/札幌市営地下鉄東西線 徒歩1分以内 / 西４丁目駅/札幌市電 徒歩1分以内,築11年/地上26階建て/鉄筋コンクリート,17.7万円,17.7万円,https://realestate.yahoo.co.jp/rent/detail/_000001157619d08b7834fd730af9dffbf4886a3ac537/,0
Square Ms614(スクエアマンション),"8.1万円
管理費等 6,000円",10階,2LDK,64.44m2,中央区南六条西14,北海道札幌市中央区南六条西14,西線６条駅/札幌市電 徒歩2分 / 西線９条旭山公園通駅/札幌市電 徒歩7分,築10年/地上11階建て/鉄筋コンクリート,8.1万円,8.1万円,https://realestate.yahoo.co.jp/rent/detail/0000085769483e262998c84a352d4301eea753c37711/,0
札幌市電 西線６条駅 11階建 築23年,"8.1万円
管理費等 6,000円",10階,2LDK,64.44m2,中央区南六条西14,北海道札幌市中央区南六条西14,西線６条駅/札幌市電 徒歩2分 / 西１１丁目駅/札幌市営地下鉄東西線 徒歩10分,築23年/地上11階建て/鉄骨鉄筋コンクリート,8.1万円,8.1万円,https://realestate.yahoo.co.jp/rent/detail/_0000017512273e262998c84a352d4301eea753c37711/,0
札幌市電 西線１１条駅 5階建 築2年,"10.2万円
管理費等 10,000円",5階,2LDK,51.48m2,中央区南十二条西13,北海道札幌市中央区南十二条西13,西線１１条駅/札幌市電 徒歩3分 / 西線１４条駅/札幌市電 徒歩6分,築2年/地上5階建て/鉄筋コンクリート,10.2万円,10.2万円,https://realestate.yahoo.co.jp/rent/detail/_000007915947d35acf30752350f15f75bca6c204ea90/,0
札幌市電 西線１１条駅 5階建 築2年,"14.4万円
管理費等 10,000円",1階,3LDK,80.76m2,中央区南十二条西13,北海道札幌市中央区南十二条西13,西線１１条駅/札幌市電 徒歩3分 / 西線１４条駅/札幌市電 徒歩6分,築2年/地上5階建て/鉄筋コンクリート,14.4万円,14.4万円,https://realestate.yahoo.co.jp/rent/detail/_00000791594759b2941077eb374bb9916aa668bb98c5/,0
プライムメゾン南2条,"12万円
管理費等 5,000円",13階,1LDK,51.67m2,中央区南二条西9,北海道札幌市中央区南二条西9,西８丁目駅/札幌市電 徒歩3分 / 中央区役所前駅/札幌市電 徒歩5分,築16年/地上14階建て/鉄筋コンクリート,12万円,12万円,https://realestate.yahoo.co.jp/rent/detail/000001206233414c16b231587a614903440468394cd6/,0
プライムメゾン南2条,"12万円
管理費等 7,000円",13階,1LDK,51.67m2,中央区南二条西9,北海道札幌市中央区南二条西9,西８丁目駅/札幌市電 徒歩3分 / 中央区役所前駅/札幌市電 徒歩5分,築16年/地上14階建て/鉄筋コンクリート,12万円※,12万円※,https://realestate.yahoo.co.jp/rent/detail/00000120623337199743b8ce165102af2b37aa1d6041/,0
札幌市営地下鉄南北線 中島公園駅 14階建 築19年,"6.4万円
管理費等 6,000円",12階,1LDK,33.38m2,中央区南十条西1,北海道札幌市中央区南十条西1,中島公園駅/札幌市営地下鉄南北線 徒歩3分 / 山鼻９条駅/札幌市電 徒歩9分,築19年/地上14階建て/鉄筋コンクリート,6.4万円,6.4万円,https://realestate.yahoo.co.jp/rent/detail/_000001335474270ac5a1ad9673fbaacc93c394b1b80e/,0
